Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,155.9,-78.3,180,top
C2,1uF,C_0805_2012Metric,165.1,-78.3,180,top
C3,100nF,C_0805_2012Metric,160.963512,-85.48442,-90,top
C4,100nF,C_0805_2012Metric,156.2,-94.6,180,top
C5,1uF,C_0805_2012Metric,167.7,-91.8,90,top
C6,100nF,C_0805_2012Metric,170.2,-91.8,90,top
J1,Conn_01x08_Pin,PinSocket_1x08_P2.54mm_Vertical,152,-80.46,0,top
R1,10k,R_0805_2012Metric,164.8,-85.5,-90,top
R2,10k,R_0805_2012Metric,156.1875,-97.3,180,top
R3,10k,R_0805_2012Metric,156.1875,-99.6,0,top
R4,10k,R_0805_2012Metric,167.1,-85.5,-90,top
U1,AS5F18G04SND-10LIN,SON127P600X800X80-8N,166.4,-97,0,top
U2,TXB0106PW,TSSOP-16_4.4x5mm_P0.65mm,161.925023,-90.433502,180,top
U3,AP2127K-1.8,SOT-23-5,160,-81,0,top
